Bericht,Anzahl Tote,Anzahl Verletzte,Gesamter Sachschaden
179_Willroth_-_Siegburg_Bonn,0,0,"80.000 Euro"
191_Treben-Lehma,0,0,"114.600 Euro"
012_Raubling,0,0,"903.280 Euro"
032_Bad Lausick,0,22,"1.936.600 Euro"
201_Leipzig-Engelsdorf,0,19,"982.000 Euro"
203_Blankenberg_Sieg,0,0,"58.000 Euro"
186_Gröbers,0,0,"157.930 Euro"
193_Joachimsthal,0,0,"ca. 130.000 Euro"
197_Elmshorn,0,3,"705.000 Euro"
200_Frankfurt_Oder_Oderbrücke,0,0,"180.000 Euro"
196_Mellenbach-Glasbach,0,0,"11.569 Euro"
177_München-Riem_Ubf,0,0,"65.000 Euro"
192_Birkenwerder,0,0,"58.028 Euro"
210_Mannheim_Hbf_-_Ludwigshafen_Hbf,0,0,k. A.
188_Eisenach,0,0,"565.000 Euro"
011_München_Lochhausen,0,9,"2.560.000 Euro"
208_Ravensburg_-_Friedrichshafen_Stadt,0,1,k. A.
195_Blumenberg,0,0,"ca. 630.000 Euro"
181_Jossa_-_Burgsinn,0,0,"0 Euro"
204_Herne,0,0,"570.000 Euro"
095_Borna_b_Leipzig,0,1,"ca. 410.000 Euro"
184_Enzisweiler,0,0,"0 Euro"
048_Augsburg,0,0,"1.165.000 Euro"
025_Neustrelitz,0,0,"2.351.000 Euro"
080_Feucht,1,0,k. A.
026_Wuppertal,0,5,k. A.
085_Halle_Hbf,0,5,"5.000 Euro"
042_Stedesand - Langenhorn,1,4,"2.000.000 Euro"
185_München_Hbf,0,1,"2.500.000 Euro"
021_Marsberg - Messinghausen,0,19,"150.000 Euro"
034_Schlüchtern,1,2,"1.000 Euro"
068_Hagen-Vorhalle,0,0,"30.000 Euro"
035_Rotenburg_Wümme,0,1,"4.070.000 Euro"
113_Neumünster,0,0,"85.000 Euro"
037_Montabaur_-_Limburg,0,6,"1.615.000 Euro"
079_Angern-Rogaetz,0,1,k. A.
086_Offenburg_-_Gengenbach,0,7,"243.000 Euro"
058_Maschen Rbf,0,0,"5.200 Euro"
050_Bad Laasphe - Erndtebrück,1,31,"600.000 Euro"
134_Hohenlimburg_-_Letmathe,1,3,"1.000 Euro"
016_Lövenich-Horrem,0,24,"5.100 Euro"
157_Tapfheim_-_Blindheim,0,0,"1.200.000 Euro"
087_Emden_Rbf,0,0,"64.585 Euro"
033_Obervellmar,0,3,"2.084.160 Euro"
158_Neustadt_Aisch_-_Bad_Windsheim,0,3,"22.500 Euro"
063_Iversheim_-_Arloff,0,2,"27.000 Euro"
019_Braunschweig - Bad Harzburg,0,16,"2.263.945 Euro"
097_Karlsruhe_Gbf,0,0,k. A.
028_Bad_Endorf_-_Landl,0,0,"2.000.000 Euro"
110_Eschhofen,0,1,"603.300 Euro"
117_Laurenburg_Lahn,0,0,"11.200 Euro"
159_Bebra,0,0,"2.000.000 Euro"
098_Hosena,0,1,"1.779.000 Euro"
107_Schleswig,0,0,"7.000 Euro"
030_Herlasgrün,0,0,"573.000 Euro"
144_Oberasbach_-_Anwanden,1,1,"746.731 Euro"
112_Neuwied,0,0,"250.000 Euro"
052_Düsseldorf_Derendorf,0,0,"650.000 Euro"
075_Saalfeld_Saale,0,0,"338.400 Euro"
103_Köln-Eifeltor,0,0,k. A.
136_Dillenburg,0,1,"2.874.000 Euro"
088_Forchheim_Trubachbrücke_Abzw_-_Ebermannstadt,1,1,"60.000 Euro"
149_Winterhausen,0,1,"609.000 Euro"
070_Witten_Hbf_-_Witten-Annen_Nord,0,1,"60.000 Euro"
094_Schweinsberg_Anst_-_Kirchhain,0,1,"87.000 Euro"
062_Hagen_Gbf,0,0,"290.000 Euro"
031_Lambrecht,0,18,"1.504.650 Euro"
069_Dahlbruch,0,0,"30.582 Euro"
145_Nienberge_-_Altenberge,1,2,"250.000 Euro"
101_Pinneberg_-_Hamburg-Eidelstedt,0,0,"0 Euro"
067_Köln-Kalk_Nord,0,0,"24.600 Euro"
081_Wilhelmshaven,0,0,"500.000 Euro"
106_Neufahrn_Niederbay_-_Eggmühl,0,0,"3.500 Euro"
060_Langenselbold - Hailer-Meerholz,0,0,"2.975.096 Euro"
120_Köln_Hbf,0,0,"403.000 Euro"
084_Oldenburg_Oldb_Hbf,0,0,"185.000 Euro"
078_Olching,0,6,"4.000.000 Euro"
074_Cham_Oberpf_-_Bad_Kötzing,0,1,"20.000 Euro"
051_Düsseldorf_Rath,0,2,"5.000.000 Euro"
064_Kamen_-_Üst_Nordbögge,0,1,"10.000 Euro"
047_Berlin-Tegel,0,6,"1.306.000 Euro"
147_Buxtehude_-_Horneburg,0,3,"1.360.000 Euro"
093_Hameln,0,0,"0 Euro"
170_Bonn_Gbf,0,0,"60.000 Euro"
121_Frankfurt_M-Griesheim,0,0,"1.565.555 Euro"
061_Voerde_-_Dinslaken,0,0,"1.352.250 Euro"
141_Recklinghausen_Ost,0,0,"775.000 Euro"
122_Augsburg,0,4,"435.000 Euro"
135_Emden,0,1,"295.000 Euro"
202_Wunstorf_-_Haste,0,0,"651.000 Euro"
090_Dillingen_Saar,0,1,"334.000 Euro"
160_Frankfurt_Main_Süd,0,0,"90.000 Euro"
156_Bad_Oldesloe_-_Bargteheide,1,2,"50.000 Euro"
173_Ruhland,0,0,"0 Euro"
131_Hoppegarten_Mark,0,1,"2.310.000 Euro"
099_Rbf_Wustermark,0,0,"4.390.000 Euro"
077_Hannover_Hbf,0,0,"1.400.000 Euro"
023_Hordorf,10,23,"7.000.000 Euro"
092_Kirn_Bad_Sobernheim,5,0,"331.000 Euro"
137_Düsseldorf_Abstellbahnhof,0,0,"530.000 Euro"
066_Bruchmühlen_-_Bünde,0,0,"720.000 Euro"
091_Himmelstür_Abzw_Hildesheim_Hbf,0,0,"2.500.000 Euro"
018_Bielefeld,0,27,k. A.
174_Düsseldorf_Flughafen_Terminal,0,1,"9.000 Euro"
132_Remscheid_Hbf,0,1,"20.000 Euro"
143_Mühlacker,0,0,"21.000 Euro"
171_Ruhland,0,0,"0 Euro"
010_Gremberg,0,1,k. A.
076_Obernjesa,0,0,"1.046.000 Euro"
154_Rheydt-Gbf,0,0,"8.060.000 Euro"
045_Berlin_Ostbahnhof,0,0,"436.000 Euro"
172_Angern_Rogaetz,0,0,"53.000 Euro"
155_Hannover-Linden,0,0,"1.006.000 Euro"
024_Recklinghausen,0,2,"190.000 Euro"
102_Meppen,1,0,"35.000 Euro"
041_Gröbers-Grosskugel,0,0,"179.500 Euro"
046_Falkenberg (Elster),0,0,"31.000 Euro"
072_Goslar,0,0,"96.000 Euro"
038_Bleicherode,0,1,"8.950.000 Euro"
140_Neuss_Gbf,0,0,"215.000 Euro"
115_Einsiedlerhof,0,0,"1.090.000 Euro"
020_Gelsenkirchen,0,0,"285.000 Euro"
123_Bremen,0,0,"2.446.000 Euro"
109_Eilenburg,0,0,"103.910 Euro"
175_Jübek_-_Flensburg_Weiche,0,3,"190.380 Euro"
211_Oberhausen_West,0,0,"3.126.000 Euro"
073_Eilendorf_Hp_−_Aachen-Rothe_Erde,0,0,"2.092.309 Euro"
036_Müllheim,0,0,"10.334.885 Euro"
055_Hosena,1,1,"7.214.000 Euro"
104_Duisburg-Wedau_-_Lintorf,0,0,"960.000 Euro"
119_Duisburg_Wedau,0,0,"2.593.000 Euro"
182_Duisburg-Wedau,0,0,"2.593.000 Euro"
167_Köln_Bonntor_-_Köln_Süd,0,0,"2.200.000 Euro"
124_Moers,0,0,"1.890.000 Euro"
169_Schkeuditz,0,2,"883.000 Euro"
150_Storzingen_-_Inzigkofen,0,0,"0 Euro"
100_Vilseck_Freihung,2,19,"3.200.000 Euro"
027_Geldern,0,2,"10.800.000 Euro"
071_Frellstedt,0,0,"1.270.000 Euro"
198_Bremerhaven_Seehafen,1,4,"122.000 Euro"
015_Berlin-Karow,0,13,"800.000 Euro"
029_Bacharach,0,0,"495.000 Euro"
212_Augsburg_Hbf,0,0,"3.130.000 Euro"
056_Berlin Hauptbahnhof,0,1,"1.135.000 Euro"
146_München_Ost_Rbf,0,2,"140.000 Euro"
130_Freiburg_Breisgau_Gbf,0,0,"240.000 Euro"
127_Reiskirchen_-_Grossen-Buseck,0,20,"1.000.000 Euro"
148_Essen-Werden,0,1,"669.000 Euro"
054_Mühlheim Ost - Hanau Hbf,3,14,"1.887.500 Euro"
152_Hamburg-Bergedorf_-_Aumühle,1,0,"38.934 Euro"
128_Gross_Rohrheim,0,0,"813.000 Euro"
017_Nürnberg-Stein,0,0,"632.609 Euro"
209_Oberkochen_-_Königsbronn,1,7,"200.000 Euro"
190_Bitterfeld_-_Wolfen,0,0,"870.000 Euro"
096_Gruiten,0,0,"0 Euro"
118_Hohenlimburg,0,3,"27.500 Euro"
219_Fallersleben,0,1,"3.655.000 Euro"
013_Tornesch,0,0,k. A.
129_Basel_Bad_Rbf,0,5,k. A.
214_Hamburg-Altona,0,0,"2.500 Euro"
142_Wanne-Eickel_Gbf,0,1,"310.900 Euro"
224_Würzburg,0,0,"2.000.000 Euro"
178_Belzig_-_Wiesenburg_Mark,0,0,"3.832.000 Euro"
